ID,Set,District,Block,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,TransIrriCost_per_Acre,StandingWater,Ganaura,Ganaura_per_Acre,CropOrgFYM,CropOrgFYM_per_Acre,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalDAP_per_Acre,BasalUrea,BasalUrea_per_Acre,MineralFertAppMethod,1tdUrea,1tdUrea_per_Acre,1appDaysUrea,2tdUrea,2tdUrea_per_Acre,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Harv_hand_rent_per_Acre,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield,Yield_per_Acre,LandPrepMethod_TractorPlough,LandPrepMethod_FourWheelTracRotavator,LandPrepMethod_WetTillagePuddling,LandPrepMethod_BullockPlough,LandPrepMethod_Other,NursDetFactor_CalendarDate,NursDetFactor_PreMonsoonShowers,NursDetFactor_IrrigWaterAvailability,NursDetFactor_LabourAvailability,NursDetFactor_SeedAvailability,TransDetFactor_LabourAvailability,TransDetFactor_CalendarDate,TransDetFactor_RainArrival,TransDetFactor_IrrigWaterAvailability,TransDetFactor_SeedlingAge,CropbasalFerts_Urea,CropbasalFerts_DAP,CropbasalFerts_Other,CropbasalFerts_NPK,CropbasalFerts_MoP,CropbasalFerts_NPKS,CropbasalFerts_SSP,CropbasalFerts_None,FirstTopDressFert_Urea,FirstTopDressFert_DAP,FirstTopDressFert_NPK,FirstTopDressFert_NPKS,FirstTopDressFert_SSP,FirstTopDressFert_Other,OrgFertilizers_Ganaura,OrgFertilizers_FYM,OrgFertilizers_VermiCompost,OrgFertilizers_Pranamrit,OrgFertilizers_Ghanajeevamrit,OrgFertilizers_Jeevamrit,OrgFertilizers_PoultryManure,Nb_of_NaN,k2label,k3label,k4label,k5label
ID_GTFAC7PEVWQ9,train,Nalanda,Noorsarai,2022-07-20,5,Manual_PuddledRandom,2022-06-27,2022-07-21,2.0,5.0,Boring,Electric,200.0,640.0,2.0,0.0,,0.0,,,2,0.0,,20.0,64.0,Broadcasting,15.0,48.0,18.0,0.0,,,Broadcasting,machine,2022-11-16,0.0,,2022-11-16,machine,30,40,plowed_in_soil,0.3125,600.0,1920.0,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7,A,A,A,B
ID_TK40ARLSPOKS,train,Nalanda,Rajgir,2022-07-18,5,Manual_PuddledRandom,2022-06-20,2022-07-20,2.0,5.0,Boring,Electric,125.0,400.0,3.0,0.0,,0.0,,,2,15.0,48.0,10.0,32.0,Broadcasting,20.0,64.0,39.0,0.0,,,Broadcasting,hand,2022-11-25,3.0,9.6,2022-12-24,machine,24,10,plowed_in_soil,0.3125,600.0,1920.0,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5,A,A,A,B
ID_1FJY2CRIMLZZ,train,Gaya,Gurua,2022-06-30,6,Manual_PuddledRandom,2022-06-20,2022-08-13,2.0,4.0,Boring,Electric,80.0,540.0000000000001,2.0,1.0,6.750000000000002,1.0,6.750000000000002,SoilApplied,2,4.0,27.000000000000007,0.0,,SoilApplied,5.0,33.75000000000001,65.0,0.0,,,RootApplication,hand,2022-12-12,480.0,3240.000000000001,2023-01-11,machine,30,10,plowed_in_soil,0.1481481481481481,225.0,1518.7500000000005,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,3,A,A,A,A
ID_I3IPXS4DB7NE,train,Gaya,Gurua,2022-06-16,6,Manual_PuddledRandom,2022-06-17,2022-07-17,2.0,,,,,,,1.0,4.5,0.0,,SoilApplied,2,6.0,27.0,3.0,13.5,Broadcasting,5.0,22.5,5.0,0.0,,,Broadcasting,hand,2022-12-02,240.0,1080.0,2022-12-29,hand,26,10,plowed_in_soil,0.2222222222222222,468.0,2106.0,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,9,A,A,A,A
ID_4T8YQWXWHB4A,train,Nalanda,Noorsarai,2022-07-19,4,Manual_PuddledRandom,2022-06-21,2022-07-20,2.0,9.0,Boring,Electric,300.0,640.0,2.0,0.0,,0.0,,,2,15.0,32.0,30.0,64.0,Broadcasting,30.0,64.0,26.0,0.0,,,Broadcasting,machine,2022-11-30,0.0,,2022-12-02,machine,24,40,plowed_in_soil,0.46875,550.0,1173.3333333333333,True,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6,A,A,A,B
ID_W5MM9H353RL9,train,Vaishali,Garoul,2022-07-02,6,Manual_PuddledLine,2022-06-15,2022-07-06,1.0,1.0,Boring,Electric,,,3.0,0.0,,5.0,36.66666666666666,SoilApplied,2,6.0,43.99999999999999,0.0,,SoilApplied,6.0,43.99999999999999,30.0,0.0,,,Broadcasting,hand,2022-10-24,600.0,4399.999999999998,2022-11-04,hand,30,10,plowed_in_soil,0.1363636363636364,205.0,1503.3333333333328,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,6,A,A,A,A
ID_6O44Z25H1JAV,train,Jamui,Khaira,2022-07-23,3,Manual_PuddledRandom,2022-07-05,2022-07-30,4.0,1.0,Canal,,,,6.0,1.0,7.333333333333331,0.0,,SoilApplied,3,3.0,21.999999999999996,0.0,,Broadcasting,4.0,29.333333333333325,28.0,6.0,43.99999999999999,67.0,Broadcasting,hand,2022-11-04,130.0,953.333333333333,2022-12-08,machine,25,10,plowed_in_soil,0.1363636363636364,270.0,1979.9999999999995,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,5,A,A,A,A
ID_VRI9LEL2W3DR,train,Nalanda,Rajgir,2022-06-27,4,Broadcasting,,2022-07-22,,5.0,Boring,Electric,,,3.0,0.0,,0.0,,,2,15.0,60.0,8.0,32.0,Broadcasting,15.0,60.0,35.0,0.0,,,Broadcasting,machine,2022-12-05,0.0,,2022-12-06,hand,25,40,plowed_in_soil,0.25,490.0,1960.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12,A,A,A,B
ID_6YA9Y09O55LE,train,Jamui,Khaira,2022-07-24,4,Manual_PuddledRandom,2022-07-09,2022-08-02,4.0,2.0,Canal,,,,5.0,0.0,,2.0,8.799999999999999,SoilApplied,3,5.0,22.0,0.0,,Broadcasting,5.0,22.0,20.0,7.0,30.8,58.0,Broadcasting,hand,2022-11-07,130.0,572.0,2022-12-15,machine,26,10,plowed_in_soil,0.2272727272727273,425.0,1870.0,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,5,A,A,A,A
ID_EDA8RK1CP60K,train,Nalanda,Noorsarai,2022-07-14,5,Manual_PuddledRandom,2022-06-27,2022-07-16,3.0,2.0,Boring,Electric,100.0,640.0,1.0,0.0,,0.0,,,2,0.0,,10.0,64.0,Broadcasting,5.0,32.0,20.0,0.0,,,Broadcasting,hand,2022-10-29,80.0,512.0,2022-11-14,hand,22,10,plowed_in_soil,0.15625,300.0,1920.0,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6,A,A,A,B
